source,destination,date
shanghai,guangdong,2020-02-05
shanghai,guangdong,2020-02-05
shanghai,sydney,2020-01-22
shanghai,hangzhou,2020-02-02
shanghai,boston,2020-01-29
shanghai,shenzhen,2020-01-16
shanghai,foshan,2020-01-22
shanghai,california,2020-01-29
shanghai,california,2020-01-29
shanghai,ontario,2020-01-23
shanghai,ontario,2020-01-25
shanghai,ontario,2020-01-25
shanghai,victoria,2020-02-24
shanghai,guangdong,2020-02-28
guangdong,shanghai,2020-02-04
guangdong,shanghai,2020-02-05
guangdong,shanghai,2020-02-04
shanghai,paris,2020-01-29
shanghai,victoria,2020-03-21
shanghai,victoria,2020-03-21
shanghai,sydney,2020-03-05
shanghai,sydney,2020-03-10
victoria,kuala lumpur,2020-03-18
victoria,kuala lumpur,2020-03-20
victoria,sydney,2020-03-10
victoria,riyadh,2020-03-07
sydney,victoria,2020-03-21
sydney,ontario,2020-03-12
victoria,brisbane,2020-03-11
victoria,ontario,2020-03-12
brisbane,sydney,2020-03-14
brisbane,sydney,2020-03-13
shanghai,hangzhou,2020-01-20
shanghai,hangzhou,2020-01-20
hangzhou,utah,2020-03-13
hangzhou,oregon,2020-02-27
hangzhou,kanagawa,2020-02-10
kanagawa,northern territory,2020-02-24
kanagawa,tokyo,2020-02-20
hangzhou,japan,2020-02-14
hangzhou,northern territory,2020-02-21
northern territory,texas,2020-02-29
hangzhou,hong kong,2020-02-22
hangzhou,chongqing,2020-01-18
chongqing,texas,2020-02-29
chongqing,hong kong,2020-02-01
chongqing,kanagawa,2020-02-10
chongqing,singapore,2020-02-01
singapore,northern territory,2020-02-22
shanghai,gilgit,2020-03-04
shanghai,qingdao,2020-01-19
shanghai,ontario,2020-03-11
shanghai,tbilisi,2020-03-30
shanghai,south holland,2020-03-06
shanghai,wuhan,2020-01-18
shanghai,sydney,2020-03-11
shanghai,perth,2020-03-14
shanghai,guangdong,2020-02-28
shanghai,xinyu,2020-01-26
guangdong,nanchang,2020-01-29
guangdong,nanchang,2020-01-29
shanghai,taoyuan,2020-02-27
shanghai,new york,2020-02-29
shanghai,british columbia,2020-02-20
shanghai,british columbia,2020-02-16
shanghai,england,2020-02-28
shanghai,munich,2020-03-02
shanghai,british columbia,2020-03-11
